customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0022,Male,0,Yes,Yes,22,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,88.63,1936.51,Yes
CUST-0023,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,103.44,2469.38,Yes
CUST-0024,Male,0,Yes,No,17,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,No,Mailed check,47.66,828.2,No
CUST-0025,Female,0,No,Yes,10,Yes,Yes,No,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.44,202.16,Yes
CUST-0026,Male,0,No,Yes,61,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,One year,Yes,Mailed check,86.21,5270.51,No
CUST-0027,Female,1,Yes,No,23,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,94.07,2169.29,Yes
CUST-0028,Male,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),95.3,3056.71,No
CUST-0029,Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,84.91,3381.83,No
CUST-0030,Female,0,No,Yes,17,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,51.97,872.89,Yes
CUST-0031,Male,0,Yes,No,47,No,No phone service,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),86.52,4077.97,No
CUST-0032,Female,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),72.77,673.72,Yes
CUST-0033,Male,0,No,No,2,Yes,No,DSL,No internet service,Yes,No,No,No,No internet service,Month-to-month,No,Mailed check,30.65,51.81,Yes
CUST-0034,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,No internet service,No,No,Two year,Yes,Mailed check,33.48,2100.06,No
CUST-0035,Female,1,No,No,23,No,No phone service,DSL,Yes,Yes,No,No internet service,No,Yes,Two year,Yes,Electronic check,57.75,1327.15,No
CUST-0036,Male,0,Yes,Yes,18,Yes,No,DSL,Yes,Yes,No,No,No internet service,No,Two year,No,Mailed check,37.9,701.57,No
CUST-0037,Female,0,No,Yes,4,Yes,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,20.71,73.58,Yes
CUST-0038,Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.5,2505.41,Yes
CUST-0039,Male,0,No,Yes,44,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,One year,No,Electronic check,73.81,3263.32,No
CUST-0040,Female,0,No,Yes,34,Yes,No,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,63.29,2132.08,Yes
CUST-0041,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,82.49,1878.77,Yes
CUST-0042,Male,1,No,No,11,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.96,949.74,Yes
CUST-0043,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.01,304.33,Yes
CUST-0044,Female,0,No,No,62,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,70.36,4351.95,No
CUST-0045,Male,1,No,No,21,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,93.54,1963.05,Yes
CUST-0046,Male,0,No,Yes,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),93.95,6480.47,No
CUST-0047,Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),85.87,1458.65,Yes
CUST-0048,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),60.93,1528.16,Yes
CUST-0049,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.39,951.43,Yes
CUST-0050,Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,105.35,2420.91,Yes
CUST-0051,Male,0,No,No,45,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Electronic check,87.68,3944.62,No
CUST-0052,Female,0,No,No,40,Yes,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,19.58,786.68,No
CUST-0053,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),87.95,1320.75,No
CUST-0054,Male,0,Yes,No,28,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),29.87,850.54,No
CUST-0055,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,Yes,No internet service,One year,Yes,Mailed check,44.13,2011.93,No
CUST-0056,Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,87.98,2124.79,No
CUST-0057,Female,0,Yes,No,34,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,34.3,1180.03,Yes
CUST-0058,Male,0,No,No,12,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,107.94,1286.72,Yes
CUST-0059,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.44,127.56,Yes
CUST-0060,Male,0,No,Yes,10,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Mailed check,84.37,841.24,Yes
CUST-0061,Male,1,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,85.17,1436.7,No
CUST-0062,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),94.22,2445.63,Yes
CUST-0063,Female,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),84.27,1835.7,No
CUST-0064,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,91.34,2548.65,Yes
CUST-0065,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,23.15,58.96,Yes
CUST-0066,Female,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,98.22,89.6,Yes
CUST-0067,Male,1,Yes,No,26,Yes,No,No,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,21.22,564.39,Yes
CUST-0068,Female,0,No,Yes,25,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,19.88,498.18,No
CUST-0069,Male,0,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,39.59,846.63,Yes
CUST-0070,Female,0,Yes,Yes,33,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,No,Two year,No,Electronic check,40.46,1338.12,No
CUST-0071,Male,1,No,Yes,22,Yes,Yes,DSL,No,No internet service,No,Yes,No,No internet service,One year,No,Electronic check,47.58,1027.89,No
CUST-0072,Female,0,Yes,No,35,Yes,Yes,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),32.67,1150.51,No
CUST-0073,Female,1,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.47,1119.78,Yes
CUST-0074,Male,0,No,Yes,28,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,No,Mailed check,79.25,2216.89,No
CUST-0075,Female,0,Yes,Yes,55,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,55.17,3051.53,No
CUST-0076,Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),49.78,3321.86,No
CUST-0077,Female,0,Yes,No,39,Yes,No,No,No,No internet service,No,No,No internet service,No,One year,No,Electronic check,20.84,808.41,No
CUST-0078,Female,0,Yes,Yes,20,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,42.21,853.46,No
CUST-0079,Female,0,No,Yes,19,Yes,Yes,No,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),24.58,482.31,Yes
CUST-0080,Male,0,Yes,No,35,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),27.99,986.32,No
CUST-0081,Female,0,Yes,No,27,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),56.31,1510.64,No
CUST-0082,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,97.53,4688.34,No
CUST-0083,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,No,Electronic check,85.9,764.93,Yes
CUST-0084,Male,0,No,No,26,Yes,Yes,No,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),27.45,722.5,No
CUST-0085,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),97.44,213.04,Yes
CUST-0086,Male,0,No,No,9,Yes,No,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,23.93,224.26,Yes
CUST-0087,Female,0,Yes,No,68,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,34.16,2337.11,No
CUST-0088,Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,One year,No,Electronic check,34.31,528.98,No
CUST-0089,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),93.2,1313.57,No
CUST-0090,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,20.29,520.54,No
CUST-0091,Male,0,No,No,25,Yes,Yes,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,22.06,533.1,Yes
CUST-0092,Male,0,No,No,69,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,83.71,5790.59,No
CUST-0093,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Mailed check,91.29,6471.84,No
CUST-0094,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No,One year,Yes,Electronic check,75.03,3683.07,No
CUST-0095,Male,0,Yes,No,26,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,41.19,1083.0,No
CUST-0096,Male,0,Yes,Yes,12,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.26,225.68,Yes
CUST-0097,Female,0,Yes,Yes,19,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,26.64,489.85,No
CUST-0098,Male,0,Yes,No,17,No,No phone service,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),99.32,1692.22,Yes
CUST-0099,Male,0,Yes,No,10,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.5,766.94,Yes
CUST-0100,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,77.53,946.42,Yes
CUST-0101,Male,0,No,No,16,Yes,No,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Mailed check,40.48,643.9,Yes
CUST-0102,Female,0,No,No,29,Yes,No,No,No,No internet service,No,No,Yes,No,One year,Yes,Electronic check,29.77,856.06,No
CUST-0103,Female,1,Yes,Yes,19,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,79.38,1518.26,Yes
CUST-0104,Male,0,Yes,Yes,8,Yes,No,No,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,22.85,179.29,Yes
CUST-0105,Female,0,No,No,27,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,41.74,1132.91,No
CUST-0106,Female,0,No,No,21,Yes,Yes,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),27.5,583.37,Yes
CUST-0107,Male,0,No,No,17,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,109.15,1870.99,Yes
CUST-0108,Female,0,Yes,Yes,71,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),52.24,3712.92,No
CUST-0109,Male,0,No,No,16,Yes,No,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,20.71,331.51,Yes
CUST-0110,Female,0,No,No,6,No,No phone service,DSL,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.76,284.1,Yes
CUST-0111,Female,0,Yes,No,8,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.94,288.15,Yes
CUST-0112,Female,1,Yes,No,25,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),19.69,478.46,No
CUST-0113,Male,0,No,No,64,No,No phone service,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,25.97,1648.97,No
CUST-0114,Female,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,74.52,1421.48,No
CUST-0115,Male,0,Yes,No,26,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,101.82,2656.97,No
CUST-0116,Male,0,No,Yes,38,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Credit card (automatic),106.75,4057.59,No
CUST-0117,Female,0,No,No,57,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),39.86,2284.97,No
CUST-0118,Male,0,Yes,No,26,Yes,Yes,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),35.63,946.14,No
CUST-0119,Female,0,Yes,Yes,63,Yes,No,Fiber optic,No internet service,No,No,Yes,No,No,Two year,Yes,Electronic check,103.07,6506.43,No
CUST-0120,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),96.68,974.58,Yes
CUST-0121,Male,0,No,No,14,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),93.09,1304.52,No
CUST-0122,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,83.94,3355.67,No
CUST-0123,Female,0,No,No,17,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,30.09,494.87,Yes
CUST-0124,Female,1,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.2,2162.53,Yes
CUST-0125,Female,0,Yes,No,26,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,34.74,919.62,Yes
CUST-0126,Male,0,No,No,21,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),104.66,2210.13,Yes
CUST-0127,Male,0,No,No,69,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,109.73,7560.25,No
CUST-0128,Male,0,Yes,No,14,Yes,No,No,No,No internet service,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),24.54,342.2,No
CUST-0129,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.62,1043.34,Yes
CUST-0130,Male,0,No,No,15,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,40.7,593.13,Yes
CUST-0131,Female,1,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.25,438.24,Yes
CUST-0132,Male,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),96.02,878.26,Yes
CUST-0133,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.61,801.02,Yes
CUST-0134,Male,0,No,No,23,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,51.35,1164.1,No
CUST-0135,Male,0,No,No,18,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No,No,Two year,Yes,Mailed check,62.71,1130.54,No
CUST-0136,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),106.06,1923.46,Yes
CUST-0137,Male,0,No,No,31,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,28.06,873.37,Yes
CUST-0138,Female,0,Yes,Yes,31,Yes,No,No,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),27.01,826.32,No
CUST-0139,Male,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,104.76,3661.83,Yes
CUST-0140,Male,0,No,No,20,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,35.12,700.45,No
CUST-0141,Female,1,Yes,Yes,49,Yes,No,DSL,No,Yes,No,No,No,No internet service,Two year,Yes,Mailed check,56.25,2759.26,No
CUST-0142,Female,0,No,Yes,14,Yes,Yes,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,22.12,320.11,Yes
CUST-0143,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.14,2561.15,No
CUST-0144,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,95.21,2300.59,Yes
CUST-0145,Male,0,Yes,Yes,35,Yes,No,No,No,No internet service,No,No,No internet service,No,Month-to-month,No,Electronic check,27.58,945.8,Yes
CUST-0146,Male,0,Yes,No,34,Yes,Yes,No,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),22.46,758.55,No
CUST-0147,Male,0,Yes,Yes,64,Yes,No,No,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,23.42,1480.0,No
CUST-0148,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,91.94,2386.16,Yes
CUST-0149,Female,0,No,No,23,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),93.86,2159.8,Yes
CUST-0150,Female,0,No,Yes,15,Yes,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),29.23,438.88,No
CUST-0151,Female,1,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Two year,No,Electronic check,87.78,1654.38,No
CUST-0152,Male,0,Yes,No,29,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),70.59,2052.84,Yes
CUST-0153,Male,0,Yes,No,22,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),93.48,2038.41,Yes
CUST-0154,Male,0,Yes,No,25,Yes,No,No,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,22.28,567.48,No
CUST-0155,Female,0,No,Yes,19,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,Two year,No,Electronic check,54.85,1059.98,No
CUST-0156,Female,0,Yes,No,18,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.37,1800.32,Yes
CUST-0157,Male,0,Yes,No,29,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),57.09,1656.16,No
CUST-0158,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No internet service,One year,Yes,Mailed check,91.69,3754.63,No
CUST-0159,Female,0,Yes,No,2,No,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),26.42,33.11,Yes
CUST-0160,Female,0,Yes,No,57,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),45.34,2580.0,No
CUST-0161,Female,0,Yes,No,34,No,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,40.5,1388.8,No
CUST-0162,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,One year,Yes,Electronic check,102.55,4310.97,No
CUST-0163,Male,0,No,Yes,49,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Electronic check,74.36,3627.53,No
CUST-0164,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.96,1001.36,Yes
CUST-0165,Female,0,Yes,No,18,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,25.36,457.75,No
CUST-0166,Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,79.84,4484.86,No
CUST-0167,Male,0,Yes,No,32,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.19,1257.41,No
CUST-0168,Male,0,Yes,No,35,Yes,No,No,No,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),20.03,703.31,Yes
CUST-0169,Female,0,No,No,29,Yes,No,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,46.98,1346.76,Yes
CUST-0170,Male,0,No,No,49,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),25.18,1220.38,No
CUST-0171,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,27.75,1461.8,No
CUST-0172,Female,0,Yes,No,10,No,No phone service,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),22.36,212.78,Yes
CUST-0173,Male,0,No,No,30,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,28.3,868.24,Yes
CUST-0174,Female,0,No,No,25,Yes,No,No,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,27.84,697.39,Yes
